"node","time","measure","q05","q5","q95","mean","q10","q25","q75","q90","q025","q975","capacity","node_name"
62,100,"niq",35.2767636869821,58.7657377833169,80.4482657875015,58.3650619536808,44.4362229960281,52.3952496732026,65.4056599673075,76.970285358486,26.3276267265144,82.8507940075963,37,"P3_SG_BCap_S1los_S1Arr"
62,100,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,101,"niq",35.8039570143038,59.3129512459272,80.8911801279254,58.9125849280443,44.8227271779169,52.639971426444,66.483391386068,76.8618998439828,26.2694995576599,82.4832666525605,37,"P3_SG_BCap_S1los_S1Arr"
62,101,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,102,"niq",39.4106247184328,60.3569481144119,82.4549262982182,59.7995112700263,45.0530100880786,55.2264566142745,67.4129172064915,78.116535591441,27.7067508835767,83.7510708038152,37,"P3_SG_BCap_S1los_S1Arr"
62,102,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,103,"niq",40.6929343742951,61.1808026318792,85.5031828603196,61.3141107737559,48.5276993245609,57.7838584376151,67.9684589435072,79.0351652745648,29.1866064818243,86.9240499051473,37,"P3_SG_BCap_S1los_S1Arr"
62,103,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,104,"niq",42.3935588073381,62.0490198860943,86.007027516823,62.772169847328,48.830067204074,57.7847642888483,69.5509753514555,81.5092651552114,32.306436187838,88.7038429998328,37,"P3_SG_BCap_S1los_S1Arr"
62,104,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,105,"niq",42.9652909457235,62.8844495611074,88.0554685196373,63.8831571013093,51.3755891865342,58.5106010735046,71.5244113529467,83.2353198793417,33.6310418633963,90.0611821109138,37,"P3_SG_BCap_S1los_S1Arr"
62,105,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,106,"niq",43.1736275122601,63.0408519926741,87.4688225732272,63.7362513279404,51.372156123072,58.7694667112454,72.4767633200691,82.9483743891744,32.3093443070597,89.6938347996474,37,"P3_SG_BCap_S1los_S1Arr"
62,106,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
